x,y,z,yaw,mps,change_flag
703360.89,5268611.915,0,1.9910513167622625,10,0
703360.482,5268612.828,0,1.9897310277348563,10,0
703360.075,5268613.742,0,1.9901379740898941,10,0
703359.668,5268614.655,0,1.9897310276285638,10,0
703359.261,5268615.569,0,1.9910513167622625,10,0
703358.853,5268616.482,0,1.990137974469239,10,0
703358.446,5268617.395,0,1.9897310273562039,10,0
703358.039,5268618.309,0,1.9910513166559787,10,0
703357.631,5268619.222,0,1.9897310277348563,10,0
703357.224,5268620.136,0,1.990137974469239,10,0
703356.817,5268621.049,0,1.9897310273562039,10,0
703356.41,5268621.963,0,1.9910513167622625,10,0
703356.002,5268622.876,0,1.990137974469239,10,0
703355.595,5268623.789,0,1.9897310277348563,10,0
703355.188,5268624.703,0,1.9910513162760117,10,0
703354.78,5268625.616,0,1.9897310277348563,10,0
703354.373,5268626.53,0,1.990137974469239,10,0
703353.966,5268627.443,0,1.9897310277348563,10,0
703353.559,5268628.357,0,1.9910513167622625,10,0
703353.151,5268629.27,0,1.9901379740898941,10,0
703352.744,5268630.183,0,1.9897310276285638,10,0
703352.337,5268631.097,0,1.990137974469239,10,0
