Point_ID,Lat,Lon,UTM_E,UTM_N,x,y,z,mps,change_flag,yaw
6123,47.540321445953396,17.701544374848385,703300.15,5268748.142,703300.15,5268748.142,0,10,0,1.9982606401433833
6124,47.54032227141794,17.70154388141974,703300.109,5268748.232,703300.109,5268748.232,0,10,0,1.9890206573342522
6125,47.54032309688249,17.701543387991098,703300.069,5268748.322,703300.069,5268748.322,0,10,0,1.98493487755387
6126,47.540323922347035,17.701542894562458,703300.029,5268748.413,703300.029,5268748.413,0,10,0,1.9890206573342522
6127,47.54032474781158,17.701542401133814,703299.989,5268748.503,703299.989,5268748.503,0,10,0,1.9941070821480382
6128,47.54032557327613,17.70154190770517,703299.948,5268748.594,703299.948,5268748.594,0,10,0,1.9890206524136045
6129,47.540326398740675,17.701541414276527,703299.908,5268748.684,703299.908,5268748.684,0,10,0,1.98493487755387
6130,47.54032722420522,17.701540920847886,703299.868,5268748.775,703299.868,5268748.775,0,10,0,1.9982606401433833
6131,47.54032804966977,17.701540427419243,703299.827,5268748.865,703299.827,5268748.865,0,10,0,1.9890206573342522
6132,47.540328875134314,17.7015399339906,703299.787,5268748.955,703299.787,5268748.955,0,10,0,1.98493487755387
6133,47.54032970059886,17.701539440561955,703299.747,5268749.046,703299.747,5268749.046,0,10,0,1.9982606401433833
6134,47.54033052606341,17.701538947133315,703299.706,5268749.136,703299.706,5268749.136,0,10,0,1.98493487755387
6135,47.54033135152795,17.70153845370467,703299.666,5268749.227,703299.666,5268749.227,0,10,0,1.98902065625411
6136,47.5403321769925,17.701537960276028,703299.626,5268749.317,703299.626,5268749.317,0,10,0,1.9941070832114587
6137,47.54033300245705,17.701537466847384,703299.585,5268749.408,703299.585,5268749.408,0,10,0,1.98902065625411
6138,47.54033382792159,17.701536973418744,703299.545,5268749.498,703299.545,5268749.498,0,10,0,1.98493487755387
6139,47.54033465338614,17.7015364799901,703299.505,5268749.589,703299.505,5268749.589,0,10,0,1.9982606401433833
6140,47.540335478850686,17.701535986561456,703299.464,5268749.679,703299.464,5268749.679,0,10,0,1.9890206534937467
6141,47.54033630431523,17.701535493132813,703299.424,5268749.769,703299.424,5268749.769,0,10,0,1.98493487755387
6142,47.54033712977978,17.701534999704172,703299.384,5268749.86,703299.384,5268749.86,0,10,0,1.9982606401433833
6143,47.540337955244325,17.70153450627553,703299.343,5268749.95,703299.343,5268749.95,0,10,0,1.98493487755387
